"","genus","species"
"1","Anisacanthus","andersonii"
"2","Anisacanthus","thurberi"
"3","Anisacanthus","sp."
"4","Justicia","brandegeeana"
"5","Justicia","californica"
"6","Ruellia","inundata"
"7","Mandevilla","foliosa"
"8","Agave","angustifolia"
"9","Agave","palmeri"
"10","Agave","parryi"
"11","Agave","schottii"
"12","Agave","shrevei"
"13","Agave","vivipara"
"14","Agave","sp."
"15","Yucca","sp."
"16","Centaurea","rothrockii"
"17","Cirsium","jaliscoense"
"18","Cirsium","neomexicanum"
"19","Cirsium","sp."
"20","Lagascea","helianthifolia"
"21","Roldana","angulifolia"
"22","Impatiens","sp."
"23","Alnus","sp."
"24","Campsis","radicans"
"25","Campsis","sp."
"26","Chilopsis","linearis"
"27","Tabebuia","sp."
"28","Tecoma","capensis"
"29","Hydrophyllum","capitatum"
"30","Mertensia","oblongifolia"
"31","Nasturtium","sp."
"32","Tillandsia","sp."
"33","Carnegiea","gigantea"
"34","Echinocereus","triglochidiatus"
"35","Echinocereus","sp."
"36","Opuntia","sp."
"37","Pachycereus","pringlei"
"38","Stenocereus","thurberi"
"39","Lobelia","cardinalis"
"40","Lobelia","laxiflora"
"41","Lobelia","sp."
"42","Canna","sp."
"43","Lonicera","dioica"
"44","Lonicera","canadensis"
"45","Lonicera","involucrata"
"46","Lonicera","japonica"
"47","Lonicera","sempervirens"
"48","Lonicera","sp."
"49","Silene","laciniata"
"50","Silene","regia"
"51","Silene","rotundifolia"
"52","Silene","virginica"
"53","Silene","sp."
"54","Cleome","serrulata"
"55","Cleome","sp."
"56","Wislizenia","refracta"
"57","Combretum","fruticosum"
"58","Convolvulus","sp."
"59","Ipomoea","coccinea"
"60","Ipomoea","bracteata"
"61","Ipomoea","hederifolia"
"62","Ipomoea","orizabensis"
"63","Ipomoea","sp."
"64","Arbutus","menziesii"
"65","Arbutus","sp."
"66","Arctostaphylos","pungens"
"67","Arctostaphylos","sp."
"68","Menziesia","ferruginea"
"69","Vaccinium","ovatum"
"70","Jatropha","sp."
"71","Caesalpinia","gilliesii"
"72","Caesalpinia","pulcherrima"
"73","Calliandra","grandifolia"
"74","Calliandra","sp."
"75","Caragana","arborescens"
"76","Cercidium","sp."
"77","Cercis","canadensis"
"78","Cercis","sp."
"79","Delonix","regia"
"80","Erythrina","flabelliformis"
"81","Erythrina","poeppigiana"
"82","Gliricidia","sepium"
"83","Havardia","mexicana"
"84","Inga","sierrae"
"85","Inga","vera"
"86","Inga","sp."
"87","Lupinus","sp."
"88","Olneya","sp."
"89","Phaseolus","coccineus"
"90","Pithecellobium","saman"
"91","Prosopis","glandulosa"
"92","Prosopis","sp."
"93","Robinia","neomexicana"
"94","Robinia","sp."
"95","Sophora","secundiflora"
"96","Fouquieria","diguetti"
"97","Fouquieria","macdougalii"
"98","Fouquieria","splendens"
"99","Swertia","radiata"
"100","Ribes","aureum"
"101","Ribes","cereum"
"102","Ribes","ciliatum"
"103","Ribes","sanguineum"
"104","Ribes","sp."
"105","Gladiolus","sp."
"106","Iris","missouriensis"
"107","Monarda","citriodora"
"108","Monarda","didyma"
"109","Monarda","fistulosa"
"110","Monarda","menthifolia"
"111","Monarda","sp."
"112","Prunella","vulgaris"
"113","Salvia","betulaefolia"
"114","Salvia","elegans"
"115","Salvia","iodantha"
"116","Salvia","lavanduloides"
"117","Salvia","mexicana"
"118","Salvia","microphylla"
"119","Salvia","purpurea"
"120","Salvia","sp."
"121","Stachys","aff.lindenii"
"122","Stachys","coccinea"
"123","Vitex","mollis"
"124","Erythronium","grandiflorum"
"125","Lilium","columbianum"
"126","Lilium","occidentale"
"127","",""
"128","Psittacanthus","ramiflorus"
"129","Bombacopsis","sp."
"130","Hibiscus","syriacus"
"131","Hibiscus","sp."
"132","Malvaviscus","arboreus"
"133","Malvaviscus","sp."
"134","Thalia","geniculata"
"135","Eucalyptus","sp."
"136","Bougainvillea","spectabilis"
"137","Epilobium","angustifolium"
"138","Epilobium","canum"
"139","Epilobium","sp."
"140","Fuchsia","encliandra"
"141","Fuchsia","fulgens"
"142","Fuchsia","sp."
"143","Castilleja","arvensis"
"144","Castilleja","coccinea"
"145","Castilleja","integra"
"146","Castilleja","miniata"
"147","Castilleja","patriotica"
"148","Castilleja","tenuiflora"
"149","Castilleja","sp."
"150","Macranthera","lecontii"
"151","Macranthera","sp."
"152","Minulus","aurantiacus"
"153","Linaria","vulgaris"
"154","Linaria","sp."
"155","Penstemon","barbatus"
"156","Penstemon","gentianoides"
"157","Penstemon","parryi"
"158","Penstemon","pseudospectabilis"
"159","Penstemon","roseus"
"160","Penstemon","superbus"
"161","Penstemon","sp."
"162","Gilia","sp."
"163","Ipomopsis","aggregata"
"164","Ipomopsis","thurberi"
"165","Ipomopsis","sp."
"166","Antigonon","leptopus"
"167","Aconitum","columbianum"
"168","Aquilegia","canadensis"
"169","Aquilegia","desertorum"
"170","Aquilegia","elegantula"
"171","Aquilegia","formosa"
"172","Aquilegia","sp."
"173","Delphinium","barbeyi"
"174","Delphinium","cardinale"
"175","Delphinium","nelsonii"
"176","Delphinium","nuttallianum"
"177","Delphinium","sp."
"178","Prunus","sp."
"179","Rosa","sp."
"180","Rubus","cuneifolius"
"181","Rubus","spectabilis"
"182","Rubus","sp."
"183","Bouvardia","ternifolia"
"184","Bouvardia","sp."
"185","Crusea","coccinea"
"186","Palicourea","padifolia"
"187","Citrus","sp."
"188","Salix","sp."
"189","Aesculus","parviflora"
"190","Aesculus","pavia"
"191","Aesculus","sp."
"192","Paullinia","sp."
"193","Ungnadia","sp."
"194","Bumelia","sp."
"195","Buddleja","cordata"
"196","Buddleja","sp."
"197","Scrophularia","montana"
"198","Scrophularia","sp."
"199","Cestrum","terminale"
"200","Cestrum","thrysoideum"
"201","Cestrum","sp."
"202","Lycium","andersonii"
"203","Nicotiana","glauca"
"204","Nicotiana","sp."
"205","Tropaeolum","majus"
"206","Tropaeolum","sp."
"207","Lantana","camara"
"208","Lantana","sp."
"209","Lippia","umbellata"
"210","Stachytarpheta","sp."
"211","Kniphofia","sp."
